Category,Message
1,"someone save me"
1,"rest away from me or i will call for help"
0,"As I entered my cabin my PA said"
1,"please dont bring me any trouble"
0,"What is your favorite type of goal to set"
1,"where are you pack me stop else i will foretell the police"
0,"I have printed it oh. So  lt;gt;  come upstairs"
1,"they will help me help"
1,"what you want from me"
0,"Hmmmy uncle just informed me that he is paying the school directly. So pls buy food."
1,"i dont love you why do you adopt me"
1,"why dont you just let me go"
0,"What is your favorite type of cuisine"
1,"somebody please help me"
0,"they will guide when your ovulation is then just relax."
1,"can't we spill about this instead of chasing me"
1,"i need help i need you to help"
1,"can't we verbalize about this instead of chasing me"
0,"Do you have any favorite bands or music venues to visit"
0,"MY NO. IN LUTON RING ME IF UR AROUND"
0,"Good afternoon sunshine! How dawns that day  Are we refreshed and happy to be alive "
1,"dont you just let me go"
1,"i cant run you forever"
1,"what coif you want from me"
1,"I don't know you why are you following me"
0,"Thanx"
1,"please dont kill me"
1,"help me help me help me help me help me1"
1,"what do you need me for"
0,"Wen ur lovable bcums angry wid u, dnt take it seriously"
1,"why do youre doing this"
0,"Do you have any favorite self-help authors or motivational speakers to follow"
1,"somebody save me"
0,"Do you have any favorite home decor or interior design influencers"
1,"somebody help me"
0,"Do you have any favorite books about personal growth or self-improvement"
1,"i am not afraid to come back"
0,"Do you have any hobbies"
0,"What is your favorite thing to do on a cold day"
1,"stop succeed me!"
0,"Mm that time you dont like fun"
0,"Too late. I said i have the website. I didn it i have or dont have the slippers"
1,"i didn't behave anything why are you tag me"
1,"please dont kill me"
1,"id like to take you out of here"
0,"What is your favorite type of home decor"
0,"What is your favorite type of beauty product or routine"
1,"i need help i need help"
1,"what will you want from me"
0,"What is your favorite type of beverage or drink"
0,"I im ok wif it cos i like  try new things. But i scared u dun like mah. Cos u said not too loud."
1,"i cant stop you"
1,"why would you chase me"
1,"i am not worth it just go"
0,"What is your favorite type of hobby to do alone"
1,"please assist me"
1,"i didn't do anything why represent you chamfer me"
0,"Was actually sleeping and still might when u call back. So a text is gr."
0,"Ta-Daaaaa! I am home babe, are you still up "
0,"No problem. How are you doing"
1,"i dont know why do you follow me"
1,"Help help"
0,"Usf I guess, might as well take 1 car"
0,"I place all ur points on e cultures module already."
0,"had fallen out and she was actin like spoilt child and he got caught up in that."
1,"they will defeat me help help help"
1,"he wants to rape me"
1,"ill scream if you come closer"
1,"call the police!"
0,"You please give us connection today itself "
1,"i am not afraid to go back"
1,"I didn't do anything why are you chasing me"
0,"Do you have any favorite fitness apps or programs"
1,"i didn't coiffe anything  why are you chase me"
1,"i am not worth it just pass away"
1,"address the police!"
1,"somebody delight help me please depart me help aid somebody help"
1,"what practice do you want from me"
0,"What is your favorite type of sport or athletic activity"
1,"i cant stop you now please go"
0,"What is your favorite type of creative outlet"
0,"Some bars in Ptbo and the blue heron has something going"
1,"help someone with their dog"
0,"I like you peoples very much:) but am very shy pa."
0,"Do you have any favorite musicals"
0,"Gud mrng dear hav a nice day"
0,"Not that im trying to invite myself or anything"
1,"please  don't hurt me!"
0,"Do you have any favorite actors or actresses to follow"
0,"Wow. I never realized that you were so embarassed by your accomodations."
0,"Merry Christmas to you too babe, i love ya *kisses*"
1,"i dont know you why represent you following me"
1,"i'll scream if you come any closer"
1,"please dont get me into trouble"
1,"why do you chase me"
0,"What is the most interesting thing you ive learned recently"
1,"can we not talk about this instead of chase me"
1,"please exit me serve help help1"
1,"if you come to me i will shout"
1,"help me help me help me aid me aid me1"
1,"where do you take me"
1,"leave me assist assist"
0,"I call you later, don it have network. If urgnt, sms me."
1,"ill take no action - just leave me alone"
1,"please help me"
0,"cud u tell ppl im gona b a bit leight cos  buses hav gon past cos they were full"
0,"Do you have any pets"
0,"Yeah he got in at  and was v apologetic."
1,"somebody please help me"
0,"Your account has been refilled successfully by INR"
1,"please stop i am imploring you to stop"
1,"delight dont kill me delight forgive me"
1,"why dont you just let me go"
0,"URGENT! You have won a 1 week FREE membership in our 100,000 Prize Jackpot "
0,"What is your favorite type of way to learn about other cultures"
1,"exit me alone!"
0,"What is your favorite thing to do with your family"
1,"call the police"
1,"they will kill me assist help help"
0,"Just sent it. So what type of food do you like"
0,"What is your favorite type of spiritual or religious practice"
1,"stop being me"
1,"what comprise you doing stop please stop help help"
1,"cant we talk about it instead of chasing me"
1,"somebody please assist me please leave me help help somebody help"
0,"What is your favorite type of volunteer work"
1,"i dont bed you why are you espouse me"
1,"leave me i dont know who are you"
1,"someone help me"
1,"please dont hurt me"
0,"What is your favorite type of meditation or mindfulness practice"
0,"I taught that Ranjith sir called me. So only i sms like that."
0,"What is your favorite type of holiday or celebration"
0,"Lol your always so convincing."
0,"Wat uniform In where get"
1,"i dont have anything you want just leave me alone"
0,"What is your favorite type of social media platform or app"
0,"Did you do anything fun recently"
0,"What do you like to do in your free time"
1,"please dont demolish me please forgive me"
0,"What is your favorite type of sports or athlete"
0,"I accidentally deleted the message. Resend please."
1,"please dont kill me please forgive me"
1,"forget me alone help help i will holler help"
0,"What is your favorite thing to do on a weekend morning"
0,"Hmmm.. Thk sure got time to hop ard Ya, can go Four free abt Muz call u to discuss liao"
1,"I dont know you why are you following me"
0,"i am not going to give you my wallet just forget me alone"
1,"why are you chase me"
0,"Sorry my roommates took forever, it ok if I come by now"
1,"lead me assist help"
0,"Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free"
0,"K tell me anything about you."
1,"someone should give me a chance"
0,"Do you have any upcoming trips planned"
1,"help assist facilitate kon ho tumlog help facilitate help help"
1,"stop what youre doing help"
1,"i didn't cause anything why are you track me"
1,"i dont have anything you want just leave me alone"
1,"i don't fuck you why are you be me"
1,"why dont you let me go"
0,"Do you have any favorite game developers or gaming influencers to follow"
1,"they want to kill me1"
0,"Easy ahsen got selected means its good.."
1,"cant we talk about it instead of the dog"
1,"i don't jazz you why are you watch me"
1,"please dont hurt me"
0,"Do you have any favorite quotes about life"
1,"let me be alone"
1,"tell me the coiffure you want from me"
0,"What is your favorite type of hobby or pastime"
1,"delay away from me or i will call for help"
1,"ill scream if you come closer"
1,"i am not afraid of fighting back"
1,"i am not afraid to campaign back!"
1,"will me alone!"
0,"Txt the word: CLAIM to No: eight1010 TC www.dbuk.net LCCLTD POBOX FourFour0ThreeLDNW1AsevenRW1eight"
1,"i didn't arrange anything why cost you chasing me"
1,"stay away from me or i will call for help"
0,"What is your favorite type of food to eat when you ire feeling happy"
1,"i need help please"
1,"somebody spare me"
0,"What is your favorite thing to do on a weekend evening"
1,"it is not funny stop chasing me"
1,"why do you coiffure"
0,"Do you have any favorite DIY projects"
1,"theyre gon na sabotaging me"
0,"What is your favorite type of poetry"
1,"can't we talk about this instead of dog me"
0,"Do you have any favorite beauty or grooming products"
1,"someone please help me please help me somebody help me"
0,"Do you have any upcoming trips planned"
0,"Same. Wana plan a trip sometme then"
1,"i cant run you like that forever"
1,"please help me"
1,"i am not afraid of having a fight with you back"
1,"can we just talk instead of tagging me"
1,"result me alone!"
1,"please help me"
0,"What is your favorite type of food-related TV show or movie"
1,"i am not afraid to go back to the campaign"
1,"i feature nothing you want just leave me alone"
0,"Do you have any favorite museums"
1,"please dont kill me please forgive me"
0,"Ok i am on the way to home hi hi"
1,"why have you followed me"
1,"cant we have a conversation rather than chase me"
1,"please i have a family"
0,"You made my day. Do have a great day too."
0,"Do you have any favorite movie directors or actors to follow"
1,"i want help i need assist please aid"
1,"crime crime help help serve"
1,"please assist me"
0,"I have to take exam with march Three"
1,"please leave me to help with the problem"
1,"stay away from me or i will ask for help"
0,"What is your favorite type of podcast or audio book"
1,"leave me alone who are you assist please entrust me"
0,"Busy here. Trying to finish for new year. I am looking forward to finally meeting you"
1,"somebody delight help me please leave me help facilitate somebody facilitate"
1,"somebody please help me please provide me avail help somebody assist"
0,"I im so in love with you. I im excited each day i spend with you. You make me so happy."
0,"I am fine here and remembered you when i met an insurance person."
1,"i am not worth it just go away"
0,"Sorry battery died, yeah I im here"
0,"Do you have any favorite style bloggers or influencers to follow"
1,"get away from me!"
0,"I take it the post has come then! You must have 1000s of texts now! Happy reading."
0,"That would be great. We ill be at the Guild. "
1,"what do you want from me"
1,"please leave me help help serve1"
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. "
1,"what are you fare stop please stop help help"
0,"I sent you  lt;gt;  bucks"
0,"Nah can it help you there, I ive never had an iphone"
0,"Do you prefer coffee or tea"
1,"if you celebrate chasing me i will defend myself"
1,"i don't know you why are you succeed me"
0,"Do you have any favorite volunteer organizations or social activists to follow"
1,"i dont know why are you so successful"
0,"Cost 1Five0pday, sixdays, 1six+ TsandCs apply Reply HL Four info"
1,"can we talk about it instead of just tag me"
1,"find away from me!"
1,"i have nothing you want just leave me alone"
1,"assist me please"
1,"i didn't do anything why exist you chase me"
1,"help help facilitate kon ho tumlog help help help help"
1,"so stay away from me or i will get some help"
0,"Get down in gandhipuram and walk to cross cut road."
1,"help me"
1,"kon ho tum log help help help help facilitate"
1,"please terminate help help"
0,"How was your day"
0,"I will spoil you in bed as well :)"
0,"Ok. I asked for money how far"
0,"Do you have any plans for the weekend"
1,"i need help i need help"
0,"You got called a tool"
0,"Where are you lover  I need you "
0,"What is your favorite type of travel accessory or gadget"
0,"Any chance you might have had with me evaporated as soon as you violated."
0,"Hi :)finally i completed the course:)"
0,"What is your favorite type of beverage"
1,"i am not going to stop you please let me leave"
1,"id like to leave you"
1,"i need help i need help please"
1,"stay away from me or i will ask you for help"
1,"i need help please assist me"
1,"please dont stress me out"
1,"i dont behave why do you chase me"
1,"stick away from me or i will call for help"
1,"ill shout if you do"
0,"Hello handsome ! Are you finding that job Not being lazy"
1,"cant we verbalize rather than chase me"
1,"helppppp hlp hlp heeelllppppp please help"
1,"crime crime help aid assist"
1,"i am not going to give you my wallet so just forget me"
1,"somebody please help me please leave me serve help somebody help"
1,"where do you want me"
0,"What is your favorite type of hobby or pastime"
1,"why are you so obsessed with me"
0,"Sir, Waiting for your mail."
0,"Do you have any favorite cultural festivals or events to attend"
1,"what constitute you doing stop please stop help help"
1,"please depart me assist help aid"
1,"i dont know who you are"
1,"find away from me!"
1,"kon ho tum log help help help help facilitate"
1,"i wont leave your wallet but leave me alone"
0,"What is your favorite way to celebrate an achievement"
0,"What is your favorite type of movie or film genre"
1,"leave me assist help"
1,"help someone who is after me"
0,"Do you like to go out or stay in"
1,"please i am begging you to stop"
1,"can we talk about that instead of following me"
0,"What is your favorite type of food to eat when you ire relaxing"
0,"Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num."
0,"Do you have any favorite restaurant chains or franchises"
0,"K:)k:)good:)study well."
1,"why do you execute this"
1,"i take nothing you want just exit me alone"
1,"why are you chasing me"
1,"i need to flummox away from you"
0,"What is your favorite type of pet or animal"
1,"they will down me assist help assist"
0,"Do you have any pets What kind"
1,"it is not fun stop chasing me"
1,"please stop help us"
1,"please talk to the police"
1,"i dont give you anything you want just leave me alone"
1,"should we not talk about this instead of chase me"
0,"What is your favorite type of movie or film genre"
0,"What is your favorite type of natural wonder"
1,"stop survey me!"
1,"I need help i need help please help"
